graph	variant	theta	seeds	basin_best_1e5	basin_best_1e6	se_basin_best_1e6	best_real_1e6	acc_rate_1e6
random_n124_d5	none	-1.00	8	64.100	63.375	0.691	63.375	0.01057
random_n124_d5	none	-0.90	8	64.825	63.175	0.631	63.175	0.01836
random_n124_d5	none	-0.80	8	62.150	61.625	0.395	61.625	0.01869
random_n124_d5	none	-0.70	8	62.375	61.000	0.407	61.000	0.02497
random_n124_d5	none	-0.60	8	62.175	60.900	0.474	60.900	0.03384
random_n124_d5	none	-0.50	8	61.525	60.400	0.259	60.400	0.05095
random_n124_d5	none	-0.40	8	60.975	60.000	0.000	60.000	0.06900
random_n124_d5	none	-0.30	8	60.250	60.000	0.000	60.000	0.10241
random_n124_d5	none	-0.20	8	60.275	60.000	0.000	60.000	0.15165
random_n124_d5	none	-0.10	8	62.625	60.875	0.398	61.950	0.22025
random_n124_d5	none	0.00	8	63.400	62.400	0.550	65.950	0.30380
random_n124_d5	none	0.10	8	68.400	65.250	0.648	71.975	0.39603
random_n124_d5	none	0.20	8	68.500	67.500	0.681	77.200	0.48965
random_n124_d5	none	0.30	8	70.625	69.500	0.926	84.125	0.57577
random_n124_d5	none	0.40	8	70.975	73.200	1.001	89.350	0.65140
random_n124_d5	none	0.50	8	70.875	71.750	1.031	93.900	0.71574
random_n124_d5	none	0.60	8	73.000	72.725	1.275	98.725	0.76885
random_n124_d5	none	0.70	8	73.125	73.750	1.221	100.450	0.81216
random_n124_d5	none	0.80	8	74.750	72.125	1.172	103.225	0.84791
random_n124_d5	none	0.90	8	73.725	73.150	0.968	104.875	0.87714
random_n124_d5	none	1.00	8	76.875	74.250	0.750	106.725	0.90056
random_n124_d5	none	1.10	8	72.650	72.750	0.861	108.725	0.91995
random_n124_d5	none	1.20	8	71.275	74.525	2.073	110.175	0.93539
random_n124_d5	rk1	-1.00	8	67.400	65.175	1.368	65.175	0.00044
random_n124_d5	rk1	-0.90	8	67.475	64.900	0.855	64.975	0.00068
random_n124_d5	rk1	-0.80	8	66.325	64.350	0.887	64.350	0.00080
random_n124_d5	rk1	-0.70	8	66.125	63.550	0.694	63.625	0.00109
random_n124_d5	rk1	-0.60	8	65.475	62.775	0.850	62.775	0.00140
random_n124_d5	rk1	-0.50	8	66.625	62.400	0.442	62.400	0.00218
random_n124_d5	rk1	-0.40	8	64.875	61.000	0.378	61.000	0.00359
random_n124_d5	rk1	-0.30	8	62.975	60.750	0.313	60.900	0.00702
random_n124_d5	rk1	-0.20	8	62.650	60.625	0.324	61.150	0.01679
random_n124_d5	rk1	-0.10	8	65.375	61.875	0.479	63.600	0.03884
random_n124_d5	rk1	0.00	8	65.225	63.850	0.703	68.025	0.08166
random_n124_d5	rk1	0.10	8	67.600	65.000	0.598	74.325	0.15072
random_n124_d5	rk1	0.20	8	69.125	68.400	0.758	80.700	0.24061
random_n124_d5	rk1	0.30	8	72.625	71.750	0.996	86.275	0.34264
random_n124_d5	rk1	0.40	8	72.375	70.525	0.715	90.675	0.44316
random_n124_d5	rk1	0.50	8	71.500	73.125	1.329	95.525	0.53606
random_n124_d5	rk1	0.60	8	73.875	70.225	1.621	96.925	0.61820
random_n124_d5	rk1	0.70	8	73.250	72.125	1.505	102.300	0.68754
random_n124_d5	rk1	0.80	8	72.725	72.000	1.350	104.400	0.74575
random_n124_d5	rk1	0.90	8	72.625	73.625	1.133	106.100	0.79403
random_n124_d5	rk1	1.00	8	71.850	73.625	0.944	106.325	0.83332
random_n124_d5	rk1	1.10	8	75.750	73.125	1.418	109.125	0.86554
random_n124_d5	rk1	1.20	8	73.875	73.125	0.972	110.200	0.89195
random_n124_d5	rk4	-1.00	8	70.300	68.250	0.810	68.250	0.00019
random_n124_d5	rk4	-0.90	8	66.925	63.600	0.550	63.600	0.00031
random_n124_d5	rk4	-0.80	8	66.250	64.000	0.568	64.000	0.00070
random_n124_d5	rk4	-0.70	8	64.875	63.275	0.577	63.275	0.00181
random_n124_d5	rk4	-0.60	8	62.250	60.900	0.391	60.900	0.00433
random_n124_d5	rk4	-0.50	8	62.125	60.750	0.269	60.750	0.01043
random_n124_d5	rk4	-0.40	8	60.800	60.300	0.156	60.300	0.02171
random_n124_d5	rk4	-0.30	8	60.650	60.000	0.000	60.000	0.04335
random_n124_d5	rk4	-0.20	8	61.025	60.100	0.100	60.275	0.08066
random_n124_d5	rk4	-0.10	8	62.475	61.250	0.412	62.875	0.13878
random_n124_d5	rk4	0.00	8	65.600	62.600	0.704	66.075	0.21586
random_n124_d5	rk4	0.10	8	67.000	65.850	0.824	72.850	0.31042
random_n124_d5	rk4	0.20	8	69.375	67.150	0.983	78.950	0.40945
random_n124_d5	rk4	0.30	8	70.350	70.625	1.068	85.100	0.50508
random_n124_d5	rk4	0.40	8	73.025	70.100	1.196	91.000	0.59025
random_n124_d5	rk4	0.50	8	72.375	73.250	1.264	94.075	0.66424
random_n124_d5	rk4	0.60	8	75.125	72.000	1.964	97.625	0.72624
random_n124_d5	rk4	0.70	8	74.750	73.400	1.408	101.550	0.77808
random_n124_d5	rk4	0.80	8	73.625	74.475	1.782	102.700	0.82006
random_n124_d5	rk4	0.90	8	74.375	73.875	1.913	106.400	0.85479
random_n124_d5	rk4	1.00	8	74.125	74.250	0.796	106.900	0.88277
random_n124_d5	rk4	1.10	8	75.600	76.000	1.402	108.850	0.90537
random_n124_d5	rk4	1.20	8	74.875	74.000	0.964	110.125	0.92402
random_n124_d5	nsm_rho1	-1.00	8	62.200	62.075	0.393	62.075	0.02698
random_n124_d5	nsm_rho1	-0.90	8	62.550	61.175	0.471	61.175	0.02955
random_n124_d5	nsm_rho1	-0.80	8	62.400	62.100	0.490	62.100	0.03568
random_n124_d5	nsm_rho1	-0.70	8	62.975	61.250	0.412	61.250	0.04657
random_n124_d5	nsm_rho1	-0.60	8	62.100	61.300	0.273	61.300	0.05211
random_n124_d5	nsm_rho1	-0.50	8	60.625	60.375	0.183	60.375	0.06584
random_n124_d5	nsm_rho1	-0.40	8	60.625	60.000	0.000	60.000	0.08894
random_n124_d5	nsm_rho1	-0.30	8	60.250	60.000	0.000	60.000	0.12147
random_n124_d5	nsm_rho1	-0.20	8	60.525	60.000	0.000	60.125	0.17211
random_n124_d5	nsm_rho1	-0.10	8	61.775	61.000	0.267	62.525	0.24289
random_n124_d5	nsm_rho1	0.00	8	65.125	64.000	0.829	66.975	0.32585
random_n124_d5	nsm_rho1	0.10	8	66.500	62.925	0.715	71.975	0.41766
random_n124_d5	nsm_rho1	0.20	8	71.000	68.475	1.244	77.875	0.50782
random_n124_d5	nsm_rho1	0.30	8	73.625	68.350	1.613	83.575	0.59115
random_n124_d5	nsm_rho1	0.40	8	72.475	69.625	1.782	90.000	0.66460
random_n124_d5	nsm_rho1	0.50	8	74.450	69.625	0.981	92.375	0.72616
random_n124_d5	nsm_rho1	0.60	8	72.700	72.375	1.209	98.975	0.77730
random_n124_d5	nsm_rho1	0.70	8	71.125	70.250	1.292	101.750	0.81926
random_n124_d5	nsm_rho1	0.80	8	75.225	72.000	1.991	103.100	0.85370
random_n124_d5	nsm_rho1	0.90	8	73.025	73.250	2.328	104.975	0.88153
random_n124_d5	nsm_rho1	1.00	8	75.100	70.875	1.260	107.150	0.90422
random_n124_d5	nsm_rho1	1.10	8	76.250	76.125	1.060	109.125	0.92268
random_n124_d5	nsm_rho1	1.20	8	74.625	74.725	1.527	109.825	0.93779
random_n124_d5	nsm_rho0.5	-1.00	8	64.550	62.675	0.460	62.675	0.02667
random_n124_d5	nsm_rho0.5	-0.90	8	63.375	61.550	0.523	61.550	0.03251
random_n124_d5	nsm_rho0.5	-0.80	8	62.575	61.850	0.432	61.850	0.03801
random_n124_d5	nsm_rho0.5	-0.70	8	61.875	60.775	0.240	60.775	0.04049
random_n124_d5	nsm_rho0.5	-0.60	8	62.500	61.275	0.383	61.275	0.05367
random_n124_d5	nsm_rho0.5	-0.50	8	60.775	60.525	0.181	60.525	0.06496
random_n124_d5	nsm_rho0.5	-0.40	8	60.400	60.025	0.025	60.025	0.08717
random_n124_d5	nsm_rho0.5	-0.30	8	60.250	60.000	0.000	60.000	0.11907
random_n124_d5	nsm_rho0.5	-0.20	8	60.375	60.025	0.025	60.150	0.16878
random_n124_d5	nsm_rho0.5	-0.10	8	62.525	61.625	0.324	62.675	0.23834
random_n124_d5	nsm_rho0.5	0.00	8	65.500	62.875	0.639	66.975	0.32093
random_n124_d5	nsm_rho0.5	0.10	8	67.000	66.875	0.515	73.175	0.41403
random_n124_d5	nsm_rho0.5	0.20	8	66.375	68.125	0.639	77.975	0.50724
random_n124_d5	nsm_rho0.5	0.30	8	69.150	68.100	1.202	84.650	0.59151
random_n124_d5	nsm_rho0.5	0.40	8	72.350	68.475	0.720	90.750	0.66544
random_n124_d5	nsm_rho0.5	0.50	8	73.350	71.350	1.064	95.200	0.72727
random_n124_d5	nsm_rho0.5	0.60	8	71.250	71.850	1.626	98.475	0.77843
random_n124_d5	nsm_rho0.5	0.70	8	71.500	71.150	1.076	101.700	0.82047
random_n124_d5	nsm_rho0.5	0.80	8	72.600	73.125	1.132	104.800	0.85450
random_n124_d5	nsm_rho0.5	0.90	8	74.000	72.000	0.707	106.375	0.88215
random_n124_d5	nsm_rho0.5	1.00	8	75.500	72.750	1.729	106.550	0.90472
random_n124_d5	nsm_rho0.5	1.10	8	76.375	74.125	1.302	109.650	0.92299
random_n124_d5	nsm_rho0.5	1.20	8	73.950	72.450	0.960	110.075	0.93805
random_n124_d5	nsm_erosion	-1.00	8	64.800	63.650	0.794	63.650	0.02444
random_n124_d5	nsm_erosion	-0.90	8	63.875	63.450	0.568	63.450	0.03229
random_n124_d5	nsm_erosion	-0.80	8	63.025	61.425	0.473	61.425	0.03898
random_n124_d5	nsm_erosion	-0.70	8	62.000	61.125	0.350	61.125	0.04056
random_n124_d5	nsm_erosion	-0.60	8	62.025	60.325	0.151	60.325	0.04930
random_n124_d5	nsm_erosion	-0.50	8	61.025	60.400	0.259	60.400	0.06690
random_n124_d5	nsm_erosion	-0.40	8	60.325	60.000	0.000	60.000	0.08485
random_n124_d5	nsm_erosion	-0.30	8	60.125	60.000	0.000	60.000	0.11722
random_n124_d5	nsm_erosion	-0.20	8	60.500	60.000	0.000	60.100	0.16702
random_n124_d5	nsm_erosion	-0.10	8	62.000	61.875	0.295	62.975	0.23377
random_n124_d5	nsm_erosion	0.00	8	64.000	62.500	0.598	66.525	0.31690
random_n124_d5	nsm_erosion	0.10	8	66.650	65.650	1.131	73.700	0.40938
random_n124_d5	nsm_erosion	0.20	8	69.100	67.725	1.221	78.300	0.50093
random_n124_d5	nsm_erosion	0.30	8	70.025	67.125	0.953	84.575	0.58575
random_n124_d5	nsm_erosion	0.40	8	71.350	69.250	1.221	89.250	0.66004
random_n124_d5	nsm_erosion	0.50	8	73.850	71.750	1.264	93.950	0.72294
random_n124_d5	nsm_erosion	0.60	8	75.100	70.625	1.603	98.350	0.77529
random_n124_d5	nsm_erosion	0.70	8	74.000	72.500	2.232	101.925	0.81825
random_n124_d5	nsm_erosion	0.80	8	72.750	71.500	1.222	104.250	0.85312
random_n124_d5	nsm_erosion	0.90	8	72.350	70.750	2.068	106.400	0.88162
random_n124_d5	nsm_erosion	1.00	8	73.625	72.625	2.456	106.925	0.90468
random_n124_d5	nsm_erosion	1.10	8	73.100	74.000	1.035	108.575	0.92327
random_n124_d5	nsm_erosion	1.20	8	72.875	74.375	1.281	111.175	0.93837
random_n124_d5	hk_tau0.5	-1.00	8	63.225	62.725	0.801	62.725	0.01304
random_n124_d5	hk_tau0.5	-0.90	8	63.800	62.650	0.555	62.650	0.01301
random_n124_d5	hk_tau0.5	-0.80	8	62.325	61.475	0.354	61.475	0.02221
random_n124_d5	hk_tau0.5	-0.70	8	61.175	60.675	0.248	60.675	0.02791
random_n124_d5	hk_tau0.5	-0.60	8	60.900	60.300	0.156	60.300	0.03840
random_n124_d5	hk_tau0.5	-0.50	8	60.750	60.250	0.164	60.250	0.05465
random_n124_d5	hk_tau0.5	-0.40	8	60.400	60.000	0.000	60.000	0.07570
random_n124_d5	hk_tau0.5	-0.30	8	60.250	60.000	0.000	60.000	0.11076
random_n124_d5	hk_tau0.5	-0.20	8	60.275	60.025	0.025	60.050	0.16560
random_n124_d5	hk_tau0.5	-0.10	8	63.000	61.000	0.327	62.525	0.24214
random_n124_d5	hk_tau0.5	0.00	8	64.025	65.475	0.577	67.600	0.33697
random_n124_d5	hk_tau0.5	0.10	8	67.600	66.525	0.700	73.775	0.43953
random_n124_d5	hk_tau0.5	0.20	8	69.200	67.900	0.991	81.225	0.53739
random_n124_d5	hk_tau0.5	0.30	8	69.125	72.125	1.608	86.000	0.62342
random_n124_d5	hk_tau0.5	0.40	8	71.000	72.225	1.276	90.950	0.69467
random_n124_d5	hk_tau0.5	0.50	8	72.125	71.375	1.481	96.100	0.75298
random_n124_d5	hk_tau0.5	0.60	8	74.500	74.500	0.906	100.250	0.80048
random_n124_d5	hk_tau0.5	0.70	8	72.250	71.375	1.051	102.350	0.83865
random_n124_d5	hk_tau0.5	0.80	8	73.250	72.000	1.512	104.350	0.86942
random_n124_d5	hk_tau0.5	0.90	8	73.125	72.500	1.763	104.700	0.89422
random_n124_d5	hk_tau0.5	1.00	8	71.875	74.650	1.274	110.075	0.91433
random_n124_d5	hk_tau0.5	1.10	8	71.000	72.125	1.586	109.500	0.93083
random_n124_d5	hk_tau0.5	1.20	8	71.400	72.850	1.159	110.075	0.94389
random_n124_d5	hk_tau2	-1.00	8	62.450	61.725	0.248	61.725	0.01361
random_n124_d5	hk_tau2	-0.90	8	61.625	61.325	0.242	61.425	0.01960
random_n124_d5	hk_tau2	-0.80	8	61.150	60.925	0.136	60.925	0.02641
random_n124_d5	hk_tau2	-0.70	8	60.675	60.350	0.145	60.475	0.04203
random_n124_d5	hk_tau2	-0.60	8	61.400	60.900	0.100	60.900	0.06295
random_n124_d5	hk_tau2	-0.50	8	61.275	60.450	0.164	60.675	0.09041
random_n124_d5	hk_tau2	-0.40	8	61.500	60.900	0.100	60.975	0.12759
random_n124_d5	hk_tau2	-0.30	8	61.875	61.275	0.160	61.500	0.17758
random_n124_d5	hk_tau2	-0.20	8	63.025	61.625	0.324	63.475	0.25178
random_n124_d5	hk_tau2	-0.10	8	65.125	63.400	0.544	68.275	0.36363
random_n124_d5	hk_tau2	0.00	8	66.025	65.625	0.981	75.025	0.48834
random_n124_d5	hk_tau2	0.10	8	69.400	67.625	0.800	82.475	0.59432
random_n124_d5	hk_tau2	0.20	8	68.375	68.900	1.050	89.175	0.67696
random_n124_d5	hk_tau2	0.30	8	72.625	69.650	0.938	95.725	0.74100
random_n124_d5	hk_tau2	0.40	8	70.500	71.875	1.260	98.875	0.79054
random_n124_d5	hk_tau2	0.50	8	75.375	74.375	1.558	102.125	0.82914
random_n124_d5	hk_tau2	0.60	8	73.225	74.825	1.118	104.125	0.86009
random_n124_d5	hk_tau2	0.70	8	72.000	74.125	1.705	105.850	0.88500
random_n124_d5	hk_tau2	0.80	8	74.500	70.875	1.807	108.250	0.90545
random_n124_d5	hk_tau2	0.90	8	74.000	75.000	1.626	110.150	0.92241
random_n124_d5	hk_tau2	1.00	8	75.000	73.725	1.250	110.475	0.93608
random_n124_d5	hk_tau2	1.10	8	74.750	73.625	1.133	111.700	0.94733
random_n124_d5	hk_tau2	1.20	8	74.000	71.875	1.125	111.925	0.95711
random_n124_d5	hk_sched	-1.00	8	62.125	61.000	0.189	61.000	0.01321
random_n124_d5	hk_sched	-0.90	8	62.125	61.000	0.000	61.000	0.01936
random_n124_d5	hk_sched	-0.80	8	62.125	61.025	0.025	61.025	0.02487
random_n124_d5	hk_sched	-0.70	8	61.750	60.500	0.189	60.500	0.03490
random_n124_d5	hk_sched	-0.60	8	62.125	60.150	0.150	60.150	0.04889
random_n124_d5	hk_sched	-0.50	8	62.625	60.000	0.000	60.000	0.06778
random_n124_d5	hk_sched	-0.40	8	64.125	60.100	0.038	60.125	0.09173
random_n124_d5	hk_sched	-0.30	8	64.725	60.000	0.000	60.000	0.13366
random_n124_d5	hk_sched	-0.20	8	65.050	60.025	0.025	60.050	0.19690
random_n124_d5	hk_sched	-0.10	8	67.225	61.775	0.349	62.625	0.27910
random_n124_d5	hk_sched	0.00	8	69.500	63.325	0.490	67.500	0.37185
random_n124_d5	hk_sched	0.10	8	71.250	65.125	1.093	72.775	0.46677
random_n124_d5	hk_sched	0.20	8	72.375	68.125	0.934	80.075	0.55658
random_n124_d5	hk_sched	0.30	8	75.250	68.225	1.422	83.975	0.63529
random_n124_d5	hk_sched	0.40	8	72.850	71.475	1.054	90.700	0.70100
random_n124_d5	hk_sched	0.50	8	72.225	68.875	0.990	93.675	0.75647
random_n124_d5	hk_sched	0.60	8	75.250	72.025	0.737	98.775	0.80187
random_n124_d5	hk_sched	0.70	8	74.500	69.600	0.668	102.675	0.83876
random_n124_d5	hk_sched	0.80	8	72.275	74.350	1.496	104.625	0.86905
random_n124_d5	hk_sched	0.90	8	76.125	71.625	0.905	107.250	0.89381
random_n124_d5	hk_sched	1.00	8	74.225	74.000	2.070	107.650	0.91382
random_n124_d5	hk_sched	1.10	8	73.125	75.850	0.802	109.425	0.93006
random_n124_d5	hk_sched	1.20	8	74.250	72.375	1.647	110.775	0.94339
random_n124_d10	none	-1.00	8	187.950	184.475	1.783	184.475	0.00356
random_n124_d10	none	-0.90	8	188.550	183.175	1.414	183.225	0.00654
random_n124_d10	none	-0.80	8	181.825	179.200	1.569	179.200	0.00597
random_n124_d10	none	-0.70	8	183.200	180.825	1.313	180.825	0.00872
random_n124_d10	none	-0.60	8	179.275	177.475	1.325	177.475	0.01281
random_n124_d10	none	-0.50	8	179.850	177.225	1.186	177.225	0.01832
random_n124_d10	none	-0.40	8	177.375	174.800	0.000	174.800	0.02709
random_n124_d10	none	-0.30	8	175.550	174.800	0.000	174.800	0.04101
random_n124_d10	none	-0.20	8	174.800	174.800	0.000	174.800	0.06518
random_n124_d10	none	-0.10	8	174.800	174.800	0.000	174.800	0.10067
random_n124_d10	none	0.00	8	175.450	175.100	0.196	175.250	0.15834
random_n124_d10	none	0.10	8	176.925	176.125	0.424	178.200	0.24068
random_n124_d10	none	0.20	8	181.125	178.350	0.883	187.050	0.34135
random_n124_d10	none	0.30	8	182.775	182.600	1.932	199.325	0.44474
random_n124_d10	none	0.40	8	188.575	184.950	1.871	208.675	0.54076
random_n124_d10	none	0.50	8	189.375	193.075	1.794	219.725	0.62462
random_n124_d10	none	0.60	8	191.850	192.150	1.816	228.675	0.69563
random_n124_d10	none	0.70	8	192.825	191.575	1.425	234.425	0.75466
random_n124_d10	none	0.80	8	193.875	192.450	1.829	236.100	0.80281
random_n124_d10	none	0.90	8	194.325	196.800	1.371	243.625	0.84179
random_n124_d10	none	1.00	8	194.700	196.950	3.899	248.400	0.87322
random_n124_d10	none	1.10	8	194.775	195.475	2.958	247.275	0.89870
random_n124_d10	none	1.20	8	197.900	193.450	3.485	252.500	0.91915
random_n124_d10	rk1	-1.00	8	188.200	186.275	1.975	186.350	0.00023
random_n124_d10	rk1	-0.90	8	190.800	187.575	2.673	187.825	0.00032
random_n124_d10	rk1	-0.80	8	187.375	185.250	1.725	185.600	0.00033
random_n124_d10	rk1	-0.70	8	188.275	186.425	2.010	186.425	0.00042
random_n124_d10	rk1	-0.60	8	185.475	181.400	1.508	181.400	0.00054
random_n124_d10	rk1	-0.50	8	185.150	181.325	1.049	181.325	0.00080
random_n124_d10	rk1	-0.40	8	185.750	177.825	0.880	177.950	0.00120
random_n124_d10	rk1	-0.30	8	185.550	178.100	1.278	178.175	0.00201
random_n124_d10	rk1	-0.20	8	183.825	176.600	0.834	176.975	0.00385
random_n124_d10	rk1	-0.10	8	180.725	174.800	0.000	175.550	0.00737
random_n124_d10	rk1	0.00	8	179.250	175.525	0.364	177.550	0.01926
random_n124_d10	rk1	0.10	8	179.750	177.175	0.707	181.275	0.04893
random_n124_d10	rk1	0.20	8	183.050	181.700	1.227	193.275	0.10820
random_n124_d10	rk1	0.30	8	186.850	186.725	1.516	200.875	0.19590
random_n124_d10	rk1	0.40	8	189.275	185.650	2.171	211.350	0.29926
random_n124_d10	rk1	0.50	8	194.450	189.325	1.482	222.225	0.40557
random_n124_d10	rk1	0.60	8	194.575	196.275	1.280	230.500	0.50599
random_n124_d10	rk1	0.70	8	196.450	195.350	2.367	235.150	0.59536
random_n124_d10	rk1	0.80	8	193.675	193.325	1.255	239.525	0.67141
random_n124_d10	rk1	0.90	8	193.675	193.825	2.162	243.125	0.73465
random_n124_d10	rk1	1.00	8	189.625	195.400	2.917	247.700	0.78638
random_n124_d10	rk1	1.10	8	194.525	196.600	2.555	248.025	0.82879
random_n124_d10	rk1	1.20	8	192.575	195.925	3.087	251.350	0.86309
random_n124_d10	rk4	-1.00	8	193.875	190.450	2.058	190.450	0.00014
random_n124_d10	rk4	-0.90	8	187.675	185.775	2.773	185.775	0.00018
random_n124_d10	rk4	-0.80	8	187.400	183.725	2.688	183.725	0.00022
random_n124_d10	rk4	-0.70	8	185.975	184.800	1.692	184.800	0.00052
random_n124_d10	rk4	-0.60	8	188.100	181.350	1.027	181.350	0.00106
random_n124_d10	rk4	-0.50	8	180.250	178.650	1.085	178.650	0.00223
random_n124_d10	rk4	-0.40	8	179.700	176.450	1.083	176.450	0.00542
random_n124_d10	rk4	-0.30	8	177.875	175.675	0.875	175.675	0.01276
random_n124_d10	rk4	-0.20	8	175.675	174.800	0.000	174.800	0.02564
random_n124_d10	rk4	-0.10	8	174.950	174.800	0.000	174.800	0.05037
random_n124_d10	rk4	0.00	8	176.275	174.800	0.000	175.425	0.09405
random_n124_d10	rk4	0.10	8	177.825	176.450	0.450	180.650	0.16348
random_n124_d10	rk4	0.20	8	183.600	176.950	0.434	189.925	0.25767
random_n124_d10	rk4	0.30	8	185.650	183.125	1.926	198.950	0.36327
random_n124_d10	rk4	0.40	8	186.625	186.500	2.074	212.350	0.46645
random_n124_d10	rk4	0.50	8	193.525	190.300	1.337	220.300	0.56034
random_n124_d10	rk4	0.60	8	196.200	190.800	2.402	227.700	0.64149
random_n124_d10	rk4	0.70	8	198.100	191.800	1.861	234.650	0.70953
random_n124_d10	rk4	0.80	8	194.600	194.075	2.778	239.150	0.76610
random_n124_d10	rk4	0.90	8	194.600	193.475	3.079	244.275	0.81233
random_n124_d10	rk4	1.00	8	194.875	195.225	1.519	248.050	0.84958
random_n124_d10	rk4	1.10	8	198.300	193.825	3.526	250.225	0.87968
random_n124_d10	rk4	1.20	8	199.325	190.625	2.859	252.625	0.90400
random_n124_d10	nsm_rho1	-1.00	8	182.075	182.075	1.336	182.075	0.02138
random_n124_d10	nsm_rho1	-0.90	8	185.125	182.500	1.766	182.500	0.01935
random_n124_d10	nsm_rho1	-0.80	8	180.875	178.925	1.852	178.925	0.02296
random_n124_d10	nsm_rho1	-0.70	8	179.900	179.025	1.467	179.025	0.02506
random_n124_d10	nsm_rho1	-0.60	8	180.950	178.100	1.258	178.100	0.02660
random_n124_d10	nsm_rho1	-0.50	8	179.975	177.650	1.231	177.650	0.03570
random_n124_d10	nsm_rho1	-0.40	8	179.600	174.800	0.000	174.800	0.04368
random_n124_d10	nsm_rho1	-0.30	8	175.675	174.800	0.000	174.800	0.05789
random_n124_d10	nsm_rho1	-0.20	8	175.175	174.800	0.000	174.800	0.08126
random_n124_d10	nsm_rho1	-0.10	8	174.800	174.800	0.000	174.800	0.11834
random_n124_d10	nsm_rho1	0.00	8	175.300	175.050	0.250	175.750	0.17605
random_n124_d10	nsm_rho1	0.10	8	178.375	176.125	0.424	180.425	0.26102
random_n124_d10	nsm_rho1	0.20	8	180.675	179.325	1.317	189.900	0.35974
random_n124_d10	nsm_rho1	0.30	8	185.300	183.225	0.737	200.025	0.46129
random_n124_d10	nsm_rho1	0.40	8	190.925	184.425	1.241	211.175	0.55548
random_n124_d10	nsm_rho1	0.50	8	192.450	192.800	2.520	221.825	0.63692
random_n124_d10	nsm_rho1	0.60	8	194.675	189.700	2.864	228.600	0.70552
random_n124_d10	nsm_rho1	0.70	8	197.850	197.275	2.413	235.675	0.76231
random_n124_d10	nsm_rho1	0.80	8	192.600	194.475	3.055	241.100	0.80893
random_n124_d10	nsm_rho1	0.90	8	192.750	195.000	2.887	243.350	0.84686
random_n124_d10	nsm_rho1	1.00	8	195.000	198.425	2.078	247.625	0.87734
random_n124_d10	nsm_rho1	1.10	8	194.725	194.775	2.162	251.100	0.90216
random_n124_d10	nsm_rho1	1.20	8	197.725	194.475	2.087	252.375	0.92167
random_n124_d10	nsm_rho0.5	-1.00	8	181.875	181.875	2.180	181.875	0.01900
random_n124_d10	nsm_rho0.5	-0.90	8	183.350	180.950	1.892	180.950	0.02144
random_n124_d10	nsm_rho0.5	-0.80	8	179.900	179.275	1.980	179.275	0.01976
random_n124_d10	nsm_rho0.5	-0.70	8	182.325	182.325	1.000	182.325	0.02345
random_n124_d10	nsm_rho0.5	-0.60	8	183.175	178.825	1.544	178.825	0.03004
random_n124_d10	nsm_rho0.5	-0.50	8	178.875	177.400	1.292	177.400	0.03378
random_n124_d10	nsm_rho0.5	-0.40	8	177.775	174.800	0.000	174.800	0.04322
random_n124_d10	nsm_rho0.5	-0.30	8	175.850	174.800	0.000	174.800	0.05734
random_n124_d10	nsm_rho0.5	-0.20	8	174.950	174.800	0.000	174.800	0.08029
random_n124_d10	nsm_rho0.5	-0.10	8	175.200	174.800	0.000	174.800	0.11601
random_n124_d10	nsm_rho0.5	0.00	8	176.225	174.800	0.000	175.475	0.17303
random_n124_d10	nsm_rho0.5	0.10	8	176.525	176.075	0.636	180.075	0.25543
random_n124_d10	nsm_rho0.5	0.20	8	182.575	178.775	1.385	187.425	0.35587
random_n124_d10	nsm_rho0.5	0.30	8	186.675	182.350	0.927	199.525	0.45833
random_n124_d10	nsm_rho0.5	0.40	8	185.825	187.550	2.491	211.025	0.55366
random_n124_d10	nsm_rho0.5	0.50	8	197.450	186.050	1.464	219.750	0.63593
random_n124_d10	nsm_rho0.5	0.60	8	192.150	191.425	1.663	228.375	0.70532
random_n124_d10	nsm_rho0.5	0.70	8	192.325	190.775	3.334	233.575	0.76249
random_n124_d10	nsm_rho0.5	0.80	8	191.575	193.375	1.987	236.750	0.80938
random_n124_d10	nsm_rho0.5	0.90	8	193.225	189.025	1.977	242.775	0.84719
random_n124_d10	nsm_rho0.5	1.00	8	195.075	193.250	2.242	246.575	0.87754
random_n124_d10	nsm_rho0.5	1.10	8	193.500	195.075	1.238	250.275	0.90210
random_n124_d10	nsm_rho0.5	1.20	8	197.850	192.250	3.191	252.800	0.92174
random_n124_d10	nsm_erosion	-1.00	8	185.575	184.525	1.779	184.525	0.01835
random_n124_d10	nsm_erosion	-0.90	8	184.050	182.850	1.374	182.850	0.02108
random_n124_d10	nsm_erosion	-0.80	8	184.075	182.575	1.642	182.575	0.02174
random_n124_d10	nsm_erosion	-0.70	8	180.200	180.200	1.284	180.200	0.02431
random_n124_d10	nsm_erosion	-0.60	8	182.375	180.225	1.295	180.225	0.02864
random_n124_d10	nsm_erosion	-0.50	8	179.525	177.525	1.375	177.525	0.03321
random_n124_d10	nsm_erosion	-0.40	8	175.075	174.800	0.000	174.800	0.04176
random_n124_d10	nsm_erosion	-0.30	8	175.675	174.800	0.000	174.800	0.05737
random_n124_d10	nsm_erosion	-0.20	8	174.800	174.800	0.000	174.800	0.07931
random_n124_d10	nsm_erosion	-0.10	8	174.950	174.800	0.000	174.800	0.11575
random_n124_d10	nsm_erosion	0.00	8	176.700	174.800	0.000	175.525	0.17011
random_n124_d10	nsm_erosion	0.10	8	177.950	175.650	0.522	179.925	0.25307
